#,Player,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,EFF,AST/TOV,STL/TOV
1,Kevin Durant,OKC,66,2546,1850,643,1297,49.6,133,344,38.7,431,501,86.0,40,487,527,231,88,77,248,133,1801,0.93,0.35
2,LeBron James,MIA,62,2326,1683,621,1169,53.1,54,149,36.2,387,502,77.1,94,398,492,387,115,50,213,96,1851,1.82,0.54
3,Kobe Bryant,LAL,58,2232,1616,574,1336,43.0,87,287,30.3,381,451,84.5,66,247,313,264,69,18,204,105,1244,1.29,0.34
4,Russell Westbrook,OKC,66,2331,1558,578,1266,45.7,62,196,31.6,340,413,82.3,96,205,301,362,112,21,239,147,1354,1.51,0.47
5,Kevin Love,MIN,55,2145,1432,474,1059,44.8,105,282,37.2,379,460,82.4,226,508,734,111,47,28,128,152,1558,0.87,0.37
6,Blake Griffin,LAC,66,2392,1368,561,1022,54.9,2,16,12.5,244,468,52.1,218,499,717,210,54,48,150,216,1562,1.40,0.36
7,Dirk Nowitzki,DAL,62,2079,1342,473,1034,45.7,78,212,36.8,318,355,89.6,46,372,418,136,42,30,117,129,1253,1.16,0.36
8,Brandon Jennings,MIL,66,2331,1260,469,1121,41.8,129,388,33.2,193,239,80.8,49,177,226,365,104,22,146,114,1133,2.50,0.71
9,Carmelo Anthony,NYK,55,1876,1245,441,1025,43.0,68,203,33.5,295,367,80.4,88,256,344,200,62,24,144,156,1075,1.39,0.43
10,Josh Smith,ATL,66,2329,1239,504,1101,45.8,28,109,25.7,203,322,63.0,136,496,632,257,93,115,164,172,1456,1.57,0.57
11,Rudy Gay,MEM,65,2422,1232,485,1067,45.5,54,173,31.2,208,263,79.1,130,287,417,147,95,55,161,138,1148,0.91,0.59
12,LaMarcus Aldridge,POR,55,1994,1191,483,943,51.2,2,11,18.2,223,274,81.4,150,292,442,134,51,45,111,153,1241,1.21,0.46
13,Chris Paul,LAC,60,2181,1189,425,890,47.8,79,213,37.1,260,302,86.1,42,171,213,543,152,4,124,138,1470,4.38,1.23
14,Monta Ellis,MIL,58,2120,1181,450,1040,43.3,62,201,30.8,219,275,79.6,20,180,200,346,85,18,177,136,1007,1.96,0.48
14,Paul Pierce,BOS,61,2075,1181,394,890,44.3,100,273,36.6,293,344,85.2,37,280,317,274,70,26,173,147,1148,1.58,0.41
16,Al Jefferson,UTA,61,2075,1170,516,1048,49.2,1,4,25.0,137,177,77.4,133,452,585,134,47,101,62,155,1403,2.16,0.76
17,DeMarcus Cousins,SAC,64,1950,1160,448,999,44.8,2,14,14.3,262,373,70.2,265,438,703,102,93,75,170,257,1301,0.60,0.55
18,Danny Granger,IND,62,2062,1159,391,941,41.6,123,323,38.1,254,291,87.3,79,228,307,109,62,40,110,144,980,0.99,0.56
19,Deron Williams,NJN,55,1999,1154,391,961,40.7,115,342,33.6,257,305,84.3,23,160,183,481,67,20,219,121,1068,2.20,0.31
20,David Lee,GSW,57,2121,1147,464,922,50.3,0,5,0.0,219,280,78.2,171,374,545,162,54,22,149,179,1262,1.09,0.36
21,Joe Johnson,ATL,60,2127,1129,423,931,45.4,125,322,38.8,158,186,84.9,53,168,221,232,48,13,116,75,991,2.00,0.41
21,Pau Gasol,LAL,65,2430,1129,459,917,50.1,7,27,25.9,204,261,78.2,183,495,678,237,37,88,142,127,1512,1.67,0.26
23,Andrew Bynum,LAL,60,2112,1123,444,796,55.8,1,5,20.0,234,338,69.2,192,517,709,85,27,116,152,104,1452,0.56,0.18
