#,Player,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,EFF,AST/TOV,STL/TOV
1,Trae Young,ATL,76,2652,2155,711,1544,46.0,233,610,38.2,500,553,90.4,50,234,284,737,72,7,303,128,2066,2.43,0.24
2,DeMar DeRozan,CHI,76,2743,2118,774,1535,50.4,50,142,35.2,520,593,87.7,56,336,392,374,68,24,181,178,1961,2.07,0.38
3,Joel Embiid,PHI,68,2296,2079,666,1334,49.9,93,251,37.1,654,803,81.4,146,650,796,284,77,99,214,181,2304,1.33,0.36
4,Jayson Tatum,BOS,76,2731,2046,708,1564,45.3,230,651,35.3,400,469,85.3,85,524,609,334,75,49,217,174,1971,1.54,0.35
5,Nikola Jokic,DEN,74,2476,2004,764,1311,58.3,97,288,33.7,379,468,81.0,206,813,1019,584,109,63,281,191,2862,2.08,0.39
6,Giannis Antetokounmpo,MIL,67,2204,2002,689,1245,55.3,71,242,29.3,553,766,72.2,134,644,778,388,72,91,219,212,2343,1.77,0.33
7,Luka Doncic,DAL,65,2301,1847,641,1403,45.7,201,569,35.3,364,489,74.4,56,537,593,568,75,36,292,145,1940,1.95,0.26
8,Devin Booker,PHX,68,2345,1822,662,1421,46.6,183,478,38.3,315,363,86.8,45,297,342,329,77,26,162,180,1627,2.03,0.47
9,Karl-Anthony Towns,MIN,74,2475,1818,642,1214,52.9,150,366,41.0,384,467,82.2,194,533,727,269,72,83,226,267,2088,1.19,0.32
10,Donovan Mitchell,UTA,67,2266,1733,617,1376,44.8,232,654,35.5,267,313,85.3,55,227,282,358,99,12,200,164,1479,1.79,0.49
11,LeBron James,LAL,56,2084,1695,640,1221,52.4,161,448,35.9,254,336,75.6,63,396,459,349,73,59,196,121,1776,1.78,0.37
12,Kevin Durant,BKN,55,2047,1643,578,1115,51.8,115,300,38.3,372,409,91.0,29,378,407,351,48,52,191,113,1736,1.84,0.25
13,Zach LaVine,CHI,67,2328,1635,565,1186,47.6,185,475,38.9,320,375,85.3,22,286,308,303,41,23,171,120,1463,1.77,0.24
14,Stephen Curry,GSW,64,2211,1630,535,1224,43.7,285,750,38.0,275,298,92.3,34,301,335,404,85,23,206,130,1559,1.96,0.41
15,Miles Bridges,CHA,80,2837,1613,596,1214,49.1,154,465,33.1,267,333,80.2,90,469,559,300,74,67,150,193,1779,2.00,0.49
16,Ja Morant,MEM,57,1889,1564,580,1177,49.3,88,256,34.4,316,415,76.1,77,248,325,384,66,22,196,86,1469,1.96,0.34
17,Jaylen Brown,BOS,66,2220,1559,576,1217,47.3,166,464,35.8,241,318,75.8,53,351,404,231,70,18,178,163,1386,1.30,0.39
18,Pascal Siakam,TOR,68,2578,1551,596,1207,49.4,75,218,34.4,284,379,74.9,128,452,580,360,85,42,181,225,1731,1.99,0.47
19,Anthony Edwards,MIN,72,2466,1533,549,1245,44.1,215,602,35.7,220,280,78.6,62,281,343,275,105,46,190,164,1356,1.45,0.55
20,LaMelo Ball,CHA,75,2422,1508,538,1254,42.9,220,565,38.9,212,243,87.2,108,393,501,571,119,30,245,237,1737,2.33,0.49
21,Darius Garland,CLE,68,2430,1473,542,1173,46.2,174,454,38.3,215,241,89.2,39,185,224,583,89,7,248,115,1471,2.35,0.36
22,Julius Randle,NYK,72,2544,1447,512,1246,41.1,120,390,30.8,303,401,75.6,125,591,716,370,53,39,245,205,1548,1.51,0.22
23,Russell Westbrook,LAL,78,2678,1441,548,1233,44.4,79,265,29.8,266,399,66.7,110,470,580,550,75,20,295,235,1553,1.86,0.25
24,Dejounte Murray,SAS,68,2366,1438,573,1241,46.2,96,294,32.7,196,247,79.4,80,483,563,627,138,23,180,138,1890,3.48,0.77
25,James Harden,PHI,65,2420,1432,407,992,41.0,148,448,33.0,470,536,87.7,55,445,500,667,82,36,284,153,1782,2.35,0.29
26,Terry Rozier,CHA,73,2458,1408,518,1167,44.4,222,593,37.4,150,176,85.2,56,259,315,326,93,25,96,119,1396,3.40,0.97
27,Jordan Poole,GSW,76,2283,1405,474,1058,44.8,211,580,36.4,246,266,92.5,34,226,260,304,60,23,187,206,1261,1.63,0.32
28,RJ Barrett,NYK,70,2417,1402,487,1194,40.8,138,404,34.2,290,406,71.4,66,342,408,208,43,16,151,142,1103,1.38,0.28
29,Desmond Bane,MEM,76,2266,1384,508,1101,46.1,228,523,43.6,140,155,90.3,46,288,334,208,92,29,111,196,1328,1.87,0.83
30,Shai Gilgeous-Alexander,OKC,56,1942,1371,477,1052,45.3,89,297,30.0,328,405,81.0,37,241,278,331,71,46,154,142,1291,2.15,0.46
31,CJ McCollum,NOP,62,2145,1370,536,1164,46.0,182,469,38.8,116,170,68.2,53,216,269,315,70,22,127,121,1237,2.48,0.55
32,De'Aaron Fox,SAC,59,2083,1367,516,1092,47.3,74,249,29.7,261,348,75.0,25,206,231,330,68,25,168,172,1190,1.96,0.41
32,Tyler Herro,MIA,66,2151,1367,501,1122,44.7,175,439,39.9,190,219,86.8,32,297,329,263,44,8,174,95,1187,1.51,0.25
34,Khris Middleton,MIL,66,2141,1325,452,1021,44.3,162,434,37.3,259,291,89.0,41,315,356,358,76,18,190,160,1342,1.88,0.40
35,Saddiq Bey,DET,82,2704,1321,450,1136,39.6,211,610,34.6,210,254,82.7,107,334,441,233,73,16,96,128,1258,2.43,0.76
36,Fred VanVleet,TOR,65,2462,1320,442,1097,40.3,242,642,37.7,194,222,87.4,44,245,289,434,111,35,170,162,1336,2.55,0.65
37,Jonas Valanciunas,NOP,74,2240,1314,510,938,54.4,57,158,36.1,237,289,82.0,226,617,843,190,41,60,179,247,1789,1.06,0.23
38,Tyrese Maxey,PHI,75,2650,1311,483,995,48.5,132,309,42.7,213,246,86.6,26,214,240,321,55,32,88,156,1326,3.65,0.63
39,Nikola Vucevic,CHI,73,2418,1288,546,1154,47.3,104,331,31.4,92,121,76.0,142,662,804,236,70,71,136,181,1696,1.74,0.52
40,Jalen Brunson,DAL,79,2524,1285,506,1008,50.2,94,252,37.3,179,213,84.0,43,266,309,377,66,3,124,151,1380,3.04,0.53
41,Gary Trent Jr.,TOR,70,2448,1283,450,1086,41.4,209,545,38.3,174,204,85.3,26,165,191,141,122,19,73,144,1017,1.93,1.67
42,Keldon Johnson,SAS,75,2392,1278,471,1011,46.6,159,399,39.8,177,234,75.6,80,377,457,158,58,14,92,148,1276,1.72,0.63
43,Jaren Jackson Jr.,MEM,78,2126,1272,430,1036,41.5,128,401,31.9,284,345,82.3,119,335,454,86,73,177,130,272,1265,0.66,0.56
44,Jordan Clarkson,UTA,79,2141,1266,466,1113,41.9,190,597,31.8,144,174,82.8,67,206,273,194,66,16,129,149,1009,1.50,0.51
